SK_ID_CURR,TARGET
100001,0.44
100005,0.5
100013,0.38
100028,0.3
100038,0.39
100042,0.45
100057,0.34
100065,0.24
100066,0.31
100067,0.35
100074,0.46
100090,0.44
100091,0.4
100092,0.48
100106,0.39
100107,0.38
100109,0.38
100117,0.37
100128,0.45
100141,0.38
100150,0.3
100168,0.4
100169,0.44
100170,0.43
100171,0.45
100172,0.55
100184,0.51
100187,0.31
100212,0.38
100222,0.41
100223,0.25
100232,0.27
100241,0.46
100245,0.39
100253,0.29
100256,0.39
100271,0.34
100278,0.53
100280,0.29
100306,0.43
100311,0.47
100312,0.33
100330,0.45
100331,0.32
100352,0.34
100358,0.43
100367,0.46
100382,0.38
100384,0.38
100385,0.45
100386,0.37
100399,0.37
100404,0.48
100416,0.37
100422,0.43
100426,0.33
100438,0.34
100444,0.4
100445,0.38
100446,0.36
100447,0.34
100450,0.44
100466,0.42
100483,0.34
100484,0.38
100494,0.31
100510,0.4
100512,0.35
100517,0.28
100548,0.43
100551,0.37
100552,0.47
100553,0.27
100561,0.36
100568,0.38
100569,0.33
100591,0.34
100592,0.34
100602,0.29
100607,0.36
100613,0.47
100617,0.46
100618,0.42
100622,0.41
100625,0.46
100677,0.42
100699,0.27
100702,0.39
100711,0.37
100729,0.39
100740,0.47
100744,0.45
100745,0.39
100747,0.44
100751,0.32
100752,0.4
100753,0.34
100754,0.42
100760,0.48
100762,0.41
100763,0.44
100765,0.49
100770,0.34
100772,0.32
100777,0.35
100791,0.32
100792,0.38
100797,0.34
100823,0.35
100826,0.36
100830,0.4
100836,0.47
100872,0.44
100910,0.34
100913,0.37
100918,0.38
100931,0.24
100952,0.47
100953,0.35
100965,0.48
100970,0.35
100982,0.45
100983,0.41
100984,0.29
100987,0.37
100997,0.39
100998,0.45
101002,0.36
101005,0.52
101008,0.38
101020,0.39
101021,0.4
101024,0.57
101025,0.46
101026,0.33
101031,0.32
101041,0.37
101051,0.26
101055,0.44
101056,0.51
101057,0.34
101064,0.48
101079,0.45
101087,0.36
101090,0.39
101092,0.4
101097,0.39
101099,0.34
101107,0.41
101118,0.47
101125,0.37
101126,0.37
101128,0.31
101136,0.4
101140,0.45
101149,0.39
101160,0.4
101169,0.53
101181,0.34
101186,0.31
101190,0.45
101193,0.41
101194,0.46
101198,0.43
101200,0.32
101204,0.45
101211,0.32
101213,0.4
101223,0.32
101225,0.42
101237,0.48
101243,0.38
101244,0.46
101258,0.37
101259,0.41
101268,0.34
101269,0.35
101271,0.42
101279,0.37
101281,0.46
101287,0.33
101292,0.34
101294,0.41
101296,0.49
101297,0.29
101299,0.47
101301,0.35
101305,0.4
101308,0.51
101318,0.33
101327,0.53
101329,0.28
101332,0.44
101337,0.33
101343,0.32
101345,0.34
101346,0.38
101353,0.25
